source,label_name,feature,n,mean,std,min,q05,q25,q50,q75,q95,max
mitbih,Q,mean_abs_diff,8039,0.0348,0.0083,0.0109,0.0279,0.032,0.0341,0.0362,0.0401,0.1917
mitbih,Q,max_abs_diff,8039,0.4261,0.1274,0.061,0.2456,0.3231,0.4012,0.5331,0.6382,0.7932
mitbih,S,signal_length,2779,114.1652,39.0595,22.0,54.0,95.0,107.0,135.0,187.0,187.0
mitbih,S,duration_s,2779,0.9133,0.3125,0.176,0.432,0.76,0.856,1.08,1.496,1.496
mitbih,S,padding_ratio,2779,0.3895,0.2089,0.0,0.0,0.2727,0.4278,0.492,0.7112,0.8824
mitbih,S,n_zeros,2779,73.8784,39.0812,0.0,1.0,52.0,81.0,93.0,134.0,165.0
mitbih,S,amp_min,2779,0.0012,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.1657
mitbih,S,amp_max,2779,0.9923,0.0349,0.6513,0.9432,1.0,1.0,1.0,1.0,1.0
mitbih,S,amp_range,2779,0.9911,0.0383,0.6496,0.9303,1.0,1.0,1.0,1.0,1.0
mitbih,S,amp_mean,2779,0.3243,0.1199,0.0643,0.1224,0.2687,0.3344,0.3742,0.4766,0.7667
mitbih,S,amp_std,2779,0.1579,0.034,0.0682,0.0941,0.142,0.1589,0.1736,0.2226,0.3153
mitbih,S,energy,2779,15.7799,9.2303,1.4751,4.3955,8.0345,14.6945,20.586,35.0466,105.5289
mitbih,S,rms,2779,0.3658,0.109,0.12,0.195,0.3127,0.3685,0.406,0.5181,0.7898
mitbih,S,peak_index,2779,40.946,49.364,0.0,0.0,0.0,1.0,88.0,127.0,186.0
mitbih,S,peak_time_s,2779,0.3276,0.3949,0.0,0.0,0.0,0.008,0.704,1.016,1.488
mitbih,S,mean_abs_diff,2779,0.0418,0.0135,0.0104,0.0199,0.0331,0.0421,0.0473,0.0688,0.0979
mitbih,S,max_abs_diff,2779,0.573,0.1221,0.1414,0.2943,0.5122,0.6114,0.653,0.7129,0.8956
mitbih,V,signal_length,7236,117.8962,35.0329,14.0,61.0,95.0,113.0,141.0,181.0,187.0
mitbih,V,duration_s,7236,0.9432,0.2803,0.112,0.488,0.76,0.904,1.128,1.448,1.496
mitbih,V,padding_ratio,7236,0.3695,0.1873,0.0,0.0267,0.246,0.3904,0.492,0.6738,0.9251
mitbih,V,n_zeros,7236,70.1827,35.022,0.0,6.0,47.0,74.0,93.0,127.0,174.0
mitbih,V,amp_min,7236,0.0001,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.2298
mitbih,V,amp_max,7236,0.9996,0.0103,0.6143,1.0,1.0,1.0,1.0,1.0,1.0
mitbih,V,amp_range,7236,0.9995,0.0108,0.6143,1.0,1.0,1.0,1.0,1.0,1.0
mitbih,V,amp_mean,7236,0.3956,0.1571,0.1135,0.2013,0.2729,0.3334,0.5431,0.6792,0.84
mitbih,V,amp_std,7236,0.1788,0.0421,0.0916,0.1308,0.1519,0.1652,0.2,0.2699,0.3942
mitbih,V,energy,7236,23.9427,16.0491,2.7274,7.1763,12.1283,18.5676,33.5481,55.0767,121.3795
mitbih,V,rms,7236,0.4401,0.1458,0.1752,0.2466,0.3319,0.3876,0.5716,0.7029,0.8601
mitbih,V,peak_index,7236,62.6559,54.3195,0.0,0.0,0.0,79.0,103.0,153.0,186.0
mitbih,V,peak_time_s,7236,0.5012,0.4346,0.0,0.0,0.0,0.632,0.824,1.224,1.488
mitbih,V,mean_abs_diff,7236,0.0289,0.0094,0.0098,0.0173,0.0228,0.0272,0.0327,0.0458,0.1156
mitbih,V,max_abs_diff,7236,0.3213,0.1001,0.076,0.1725,0.2484,0.3106,0.3894,0.4931,0.7511
